id,name,date_of_birth,nationality
1,,1970-06-12,Canadian
2,Ali Smith,1941-08-13,Jamaican
3,Taiichi Ohno,1981-02-24,Nigerian
4,Chantal Simon,1939-11-22,Italian
5,Ryan North,1940-05-04,Canadian
6,Jill Colonna,1980-08-26,Brazilian
7,Dzongsar Jamyang Khyentse,1958-03-08,Italian
8,Xinran,1960-08-27,Swedish
9,Leslie C. Morey,1963-07-25,Korean
10,Derek Landy,1973-02-02,American
11,William E. Linney,1956-04-29,Spanish
12,Erin Meyer,1921-05-15,Russian
13,Arthur Bennett,1944-08-11,German
14,Don Casey,1939-02-17,Indian
15,Scott Kelly,1921-06-16,Greek
16,Jonathan Haidt,1926-12-28,Peruvian
17,H. G. Bissinger,1977-06-26,Brazilian
18,Shona Vertue,1976-09-13,Indian
19,Katie Mitchell,1964-12-11,Chinese
20,Rob Schmitz,1954-05-19,Brazilian
21,Yanis Varoufakis,1952-12-02,Canadian
22,Dani Dipirro,1949-10-03,Malaysian
23,Ariella Chezar,1928-05-14,Italian
24,Michael Sikorski,1968-10-31,Korean
25,S. Block,1953-08-25,Mexican
26,Tomoko Nakamichi,1957-10-11,Spanish
27,Jim McGuinness,1945-06-25,German
28,Carol Duffy,1926-03-31,British
29,Lee Child,1949-02-05,German
30,Neale Blackwood,1929-08-09,Mexican
31,Maria Augusta Trapp,1962-10-30,Indian
32,Donna Gates,1967-04-11,British
33,Karl Marx,1972-04-06,Canadian
34,Dana Fox,1972-03-11,Spanish
35,Dr Josh Axe,1926-11-11,British
36,Haynes Publishing,1971-11-30,Nigerian
37,Gerard J. Tortora,1958-05-02,Israeli
38,Wataru Watari,1982-03-24,French
39,Kris Wilson,1926-01-19,Irish
40,Mark T. Sullivan,1920-02-17,Greek
41,Geraint Anderson,1979-05-15,French
42,Collins Dictionaries,1929-11-28,Canadian
43,Christos Tsiolkas,1976-08-24,Indian
44,Mick Walker,1941-11-26,Egyptian
45,David Kirkpatrick,1959-04-17,Brazilian
46,Deborah Kemball,1959-12-15,Saudi Arabian
47,Tom Lissauer,1987-11-03,Kenyan
48,Kate Clow,1934-02-18,Australian
49,Jeaniene Frost,1969-01-15,Canadian
50,Rex Gibson,1962-09-08,Irish
51,Ray Daniels,1950-02-16,Nigerian
52,Shoshana Cohen Stopek,1973-05-27,Greek
53,Anders Ericsson,1925-06-08,German
54,Gareth Moore,1927-07-17,Irish
55,Chris Colfer,1950-11-16,Irish
56,Alex James,1965-05-15,Nigerian
57,Neil Hilborn,1947-10-04,Irish
58,Dave Holderread,1960-05-01,Saudi Arabian
59,Bill Browder,1989-09-12,French
60,Scott Carney,1925-06-22,Portuguese
61,Rob Allison,1953-10-14,Swedish
62,Jenna Jameson,1953-09-02,Japanese
63,Sally Muir,1949-03-30,Korean
64,Martin Stopford,1990-07-23,Indian
65,Thomas Reinertsen Berg,1943-05-25,British
66,Abbi Waxman,1975-12-12,Polish
67,Jarret Walker,1988-02-20,Jamaican
68,Philip K. Dick,1961-12-02,Jamaican
69,Frank Oddo,1921-12-03,British
70,Augusten Burroughs,1979-02-09,Kenyan
71,Jon Hershfield,1943-09-30,Indian
72,Fred Schwed,1976-03-17,Japanese
73,Leila Jeffreys,1975-05-15,Brazilian
74,Mark Fisher,1925-06-02,Irish
75,Michael Booth,1987-01-08,Greek
76,Dr Gabor Mate,1963-12-02,Brazilian
77,Jon Gabriel,1943-07-20,Mexican
78,Patrick McNeil,1963-08-09,Korean
79,Kevin Kwan,1977-04-21,Russian
80,Alex Wade,1975-09-21,Italian
81,Darcey Bell,1921-07-13,Spanish
82,Kate Ascher,1968-11-10,Japanese
83,Dr. John J. Ratey,1927-07-18,Canadian
84,Rough Guides,1922-10-14,Peruvian
85,Dave MacLeod,1949-02-01,Portuguese
86,Jennifer Fleming,1922-12-21,Kenyan
87,Philip Zimbardo,1955-04-05,Indian
88,Lena Corwin,1989-01-29,Indian
89,Robin S. Sharma,1935-09-10,Canadian
90,Toni Turner,1927-01-11,Spanish
91,Eric Chaline,1970-10-03,Portuguese
92,Celia Haddon,1920-12-08,Russian
93,Chris Wormell,1942-04-22,Japanese
94,Wylie Dufresne,1977-12-30,Mexican
95,William Goldman,1980-01-09,Jamaican
